solarSystemName,security
J133419,-0.99
J125721,-0.99
J134618,-0.99
J154858,-0.99
J140112,-0.99
J132052,-0.99
J154515,-0.99
J135703,-0.99
J150137,-0.99
J102347,-0.99
J234942,-0.99
J170552,-0.99
J131240,-0.99
J104820,-0.99
J120442,-0.99
J105000,-0.99
J215736,-0.99
J164507,-0.99
J100033,-0.99
J144956,-0.99
J163138,-0.99
J145316,-0.99
J130854,-0.99
J164130,-0.99
J104328,-0.99
J120928,-0.99
J162430,-0.99
J105203,-0.99
J132918,-0.99
J122331,-0.99
J110316,-0.99
J230207,-0.99
J114046,-0.99
J132559,-0.99
J122246,-0.99
J140642,-0.99
J140308,-0.99
J135910,-0.99
J151615,-0.99
J150859,-0.99
J154606,-0.99
J114306,-0.99
J134534,-0.99
J114712,-0.99
J153229,-0.99
J174449,-0.99
J133015,-0.99
J211908,-0.99
J150700,-0.99
J133557,-0.99
J145211,-0.99
J164931,-0.99
J121412,-0.99
J122832,-0.99
J115651,-0.99
J160014,-0.99
J110823,-0.99
J105321,-0.99
J165357,-0.99
J143359,-0.99
J105803,-0.99
J100447,-0.99
J134323,-0.99
J130209,-0.99
J145155,-0.99
J123450,-0.99
J113108,-0.99
J135809,-0.99
J100246,-0.99
J114405,-0.99
J131107,-0.99
J131221,-0.99
J172556,-0.99
J172551,-0.99
J215537,-0.99
J144546,-0.99
J145759,-0.99
J130222,-0.99
J211915,-0.99
J103422,-0.99
J103716,-0.99
J141332,-0.99
J151250,-0.99
J100640,-0.99
J212319,-0.99
J104115,-0.99
J170038,-0.99
J104210,-0.99
J120619,-0.99
J114055,-0.99
J231517,-0.99
J114758,-0.99
J213058,-0.99
J154538,-0.99
J144426,-0.99
J101149,-0.99
J142239,-0.99
J132024,-0.99
J122124,-0.99
J150341,-0.99
J160311,-0.99
J112614,-0.99
J152325,-0.99
J103600,-0.99
J131128,-0.99
J145735,-0.99
J104617,-0.99
J111935,-0.99
J211517,-0.99
J143107,-0.99
J100237,-0.99
J213125,-0.99
J115522,-0.99
J122049,-0.99
J164900,-0.99
J121959,-0.99
J154846,-0.99
J121704,-0.99
J105849,-0.99
J145844,-0.99
J122610,-0.99
J152912,-0.99
J160547,-0.99
J154906,-0.99
J145359,-0.99
J111150,-0.99
J105504,-0.99
J143718,-0.99
J134141,-0.99
J114014,-0.99
J215215,-0.99
J101248,-0.99
J114842,-0.99
J130302,-0.99
J134652,-0.99
J123628,-0.99
J170327,-0.99
J130621,-0.99
J120823,-0.99
J153449,-0.99
J164621,-0.99
J142631,-0.99
J163408,-0.99
J153447,-0.99
J133913,-0.99
J141043,-0.99
J135204,-0.99
J145313,-0.99
J162007,-0.99
J141615,-0.99
J120010,-0.99
J105822,-0.99
J215124,-0.99
J233630,-0.99
J133222,-0.99
J104846,-0.99
J161635,-0.99
J121416,-0.99
J123440,-0.99
J171136,-0.99
J152111,-0.99
J105623,-0.99
J163930,-0.99
J171158,-0.99
J113907,-0.99
J164610,-0.99
J133833,-0.99
J145512,-0.99
J141250,-0.99
J154509,-0.99
J101343,-0.99
J105135,-0.99
J104218,-0.99
J110841,-0.99
J111818,-0.99
J115308,-0.99
J140418,-0.99
J112042,-0.99
J213226,-0.99
J230047,-0.99
J142110,-0.99
J105719,-0.99
J143626,-0.99
J161737,-0.99
J101556,-0.99
J143605,-0.99
J154152,-0.99
J115933,-0.99
J131549,-0.99
J133529,-0.99
J100919,-0.99
J115520,-0.99
J205517,-0.99
J131747,-0.99
J133553,-0.99
J124942,-0.99
J115422,-0.99
J212203,-0.99
J142349,-0.99
J134024,-0.99
J135301,-0.99
J162753,-0.99
J120437,-0.99
J125254,-0.99
J100252,-0.99
J145320,-0.99
J153919,-0.99
J103116,-0.99
J221356,-0.99
J122757,-0.99
J172937,-0.99
J220546,-0.99
J155040,-0.99
J102853,-0.99
J115418,-0.99
J214006,-0.99
J101912,-0.99
J161301,-0.99
J103448,-0.99
J172125,-0.99
J134440,-0.99
J130334,-0.99
J114537,-0.99
J151204,-0.99
J125657,-0.99
J125544,-0.99
J162047,-0.99
J100759,-0.99
J152034,-0.99
J145416,-0.99
J104537,-0.99
J140514,-0.99
J123235,-0.99
J151300,-0.99
J235108,-0.99
J124538,-0.99
J125641,-0.99
J141728,-0.99
J204350,-0.99
J100616,-0.99
J114041,-0.99
J164031,-0.99
J103228,-0.99
J155249,-0.99
J111644,-0.99
J103631,-0.99
J163217,-0.99
J164025,-0.99
J223824,-0.99
J151303,-0.99
J162231,-0.99
J101042,-0.99
J123753,-0.99
J145848,-0.99
J152720,-0.99
J233909,-0.99
J134354,-0.99
J100937,-0.99
J100107,-0.99
J204230,-0.99
J160046,-0.99
J125929,-0.99
J144120,-0.99
J111007,-0.99
J135346,-0.99
J225111,-0.99
J215743,-0.99
J164659,-0.99
J155831,-0.99
J145749,-0.99
J135543,-0.99
J132735,-0.99
J100001,-0.99
J160016,-0.99
J110417,-0.99
J132144,-0.99
J204853,-0.99
J142335,-0.99
J142117,-0.99
J113813,-0.99
J141740,-0.99
J123345,-0.99
J101315,-0.99
J105621,-0.99
J135807,-0.99
J112404,-0.99
J145739,-0.99
J114408,-0.99
J131704,-0.99
J123746,-0.99
J104723,-0.99
J225441,-0.99
J212838,-0.99
J124236,-0.99
J111458,-0.99
J115554,-0.99
J162831,-0.99
J101535,-0.99
J170445,-0.99
J213429,-0.99
J215101,-0.99
J205922,-0.99
J114735,-0.99
J121006,-0.99
J144131,-0.99
J155214,-0.99
J113551,-0.99
J123352,-0.99
J102336,-0.99
J162656,-0.99
J114530,-0.99
J113158,-0.99
J130451,-0.99
J151757,-0.99
J225133,-0.99
J142800,-0.99
J170642,-0.99
J113508,-0.99
J160156,-0.99
J150944,-0.99
J102055,-0.99
J105835,-0.99
J140932,-0.99
J134333,-0.99
J150805,-0.99
J140810,-0.99
J130810,-0.99
J141104,-0.99
J141425,-0.99
J121847,-0.99
J215758,-0.99
J101145,-0.99
J112215,-0.99
J231710,-0.99
J103141,-0.99
J141001,-0.99
J163444,-0.99
J123947,-0.99
J162816,-0.99
J102045,-0.99
J115658,-0.99
J170305,-0.99
J100830,-0.99
J140154,-0.99
J160032,-0.99
J210247,-0.99
J111629,-0.99
J144743,-0.99
J111009,-0.99
J133013,-0.99
J214440,-0.99
J144135,-0.99
J140246,-0.99
J151021,-0.99
J114133,-0.99
J224754,-0.99
J122837,-0.99
J142847,-0.99
J235924,-0.99
J143706,-0.99
J103854,-0.99
J125727,-0.99
J102504,-0.99
J155035,-0.99
J101415,-0.99
J214725,-0.99
J112916,-0.99
J164613,-0.99
J115347,-0.99
J111141,-0.99
J222830,-0.99
J225805,-0.99
J143455,-0.99
J104606,-0.99
J151902,-0.99
J235759,-0.99
J110555,-0.99
J224217,-0.99
J132458,-0.99
J103144,-0.99
J124530,-0.99
J102222,-0.99
J150836,-0.99
J160927,-0.99
J134949,-0.99
J132712,-0.99
J164816,-0.99
J215944,-0.99
J143702,-0.99
J105439,-0.99
J115310,-0.99
J223538,-0.99
J123249,-0.99
J121928,-0.99
J121952,-0.99
J131618,-0.99
J131753,-0.99
J152941,-0.99
J212238,-0.99
J144727,-0.99
J134349,-0.99
J235852,-0.99
J110910,-0.99
J204221,-0.99
J113221,-0.99
J110413,-0.99
J105352,-0.99
J163146,-0.99
J142826,-0.99
J152737,-0.99
J161246,-0.99
J225316,-0.99
J150807,-0.99
J125927,-0.99
J130650,-0.99
J115530,-0.99
J150904,-0.99
J104718,-0.99
J135629,-0.99
J111846,-0.99
J120704,-0.99
J131808,-0.99
J152950,-0.99
J133111,-0.99
J132401,-0.99
J132617,-0.99
J233129,-0.99
J152322,-0.99
J105544,-0.99
J104517,-0.99
J114528,-0.99
J142918,-0.99
J103351,-0.99
J214843,-0.99
J163902,-0.99
J104850,-0.99
J143336,-0.99
J110538,-0.99
J150853,-0.99
J214238,-0.99
J131124,-0.99
J170558,-0.99
J134107,-0.99
J123435,-0.99
J120252,-0.99
J115314,-0.99
J223320,-0.99
J223348,-0.99
J144057,-0.99
J115734,-0.99
J154735,-0.99
J204623,-0.99
J173322,-0.99
J123907,-0.99
J153247,-0.99
J232305,-0.99
J145619,-0.99
J140816,-0.99
J172350,-0.99
J232147,-0.99
J141015,-0.99
J101346,-0.99
J132048,-0.99
J231644,-0.99
J163446,-0.99
J135141,-0.99
J142838,-0.99
J112956,-0.99
J214901,-0.99
J100509,-0.99
J131034,-0.99
J160305,-0.99
J142055,-0.99
J151503,-0.99
J104802,-0.99
J113323,-0.99
J100808,-0.99
J143320,-0.99
J121658,-0.99
J162516,-0.99
J103512,-0.99
J150109,-0.99
J131706,-0.99
J214854,-0.99
J155551,-0.99
J135827,-0.99
J152825,-0.99
J135155,-0.99
J145225,-0.99
J134730,-0.99
J115334,-0.99
J114749,-0.99
J232044,-0.99
J234542,-0.99
J231210,-0.99
J115911,-0.99
J223853,-0.99
J133358,-0.99
J112928,-0.99
J130343,-0.99
J141342,-0.99
J145757,-0.99
J152628,-0.99
J152654,-0.99
J162251,-0.99
J120450,-0.99
J220151,-0.99
J124727,-0.99
J104502,-0.99
J151940,-0.99
J215935,-0.99
J142822,-0.99
J102409,-0.99
J104714,-0.99
J162303,-0.99
J121116,-0.99
J102521,-0.99
J134732,-0.99
J213615,-0.99
J131037,-0.99
J213139,-0.99
J103104,-0.99
J102844,-0.99
J154724,-0.99
J154541,-0.99
J140545,-0.99
J150635,-0.99
J125213,-0.99
J140244,-0.99
J120409,-0.99
J145238,-0.99
J151353,-0.99
J115026,-0.99
J130944,-0.99
J235219,-0.99
J113727,-0.99
J151720,-0.99
J1226-0,-0.99
J131208,-0.99
J114355,-0.99
J150637,-0.99
J130332,-0.99
J121623,-0.99
J101915,-0.99
J130203,-0.99
J135836,-0.99
J172512,-0.99
J110719,-0.99
J210333,-0.99
J141322,-0.99
J155711,-0.99
J134851,-0.99
J145452,-0.99
J125247,-0.99
J143946,-0.99
J144732,-0.99
J214308,-0.99
J165719,-0.99
J141633,-0.99
J212129,-0.99
J212851,-0.99
J145604,-0.99
J145659,-0.99
J160459,-0.99
J160455,-0.99
J153116,-0.99
J154109,-0.99
J112630,-0.99
J131712,-0.99
J102439,-0.99
J134527,-0.99
J133157,-0.99
J163435,-0.99
J221855,-0.99
J122934,-0.99
J123458,-0.99
J124109,-0.99
J132256,-0.99
J144401,-0.99
J162819,-0.99
J131004,-0.99
J103242,-0.99
J141931,-0.99
J161815,-0.99
J112110,-0.99
J161037,-0.99
J140912,-0.99
J154706,-0.99
J141252,-0.99
J130828,-0.99
J165532,-0.99
J133651,-0.99
J123452,-0.99
J160847,-0.99
J220832,-0.99
J102143,-0.99
J110706,-0.99
J221414,-0.99
J153903,-0.99
J165302,-0.99
J143916,-0.99
J210952,-0.99
J103955,-0.99
J214654,-0.99
J224926,-0.99
J114330,-0.99
J113619,-0.99
J132635,-0.99
J212713,-0.99
J151429,-0.99
J214227,-0.99
J164116,-0.99
J113420,-0.99
J135526,-0.99
J111214,-0.99
J103604,-0.99
J144447,-0.99
J212329,-0.99
J112905,-0.99
J164250,-0.99
J113530,-0.99
J125949,-0.99
J134022,-0.99
J125938,-0.99
J122803,-0.99
J164342,-0.99
J151538,-0.99
J165806,-0.99
J113243,-0.99
J132525,-0.99
J130403,-0.99
J142038,-0.99
J163526,-0.99
J103653,-0.99
J154642,-0.99
J151341,-0.99
J140050,-0.99
J111856,-0.99
J134102,-0.99
J140341,-0.99
J131757,-0.99
J102407,-0.99
J134401,-0.99
J125824,-0.99
J214739,-0.99
J131744,-0.99
J125923,-0.99
J154937,-0.99
J104321,-0.99
J115327,-0.99
J223511,-0.99
J161138,-0.99
J143234,-0.99
J143933,-0.99
J115700,-0.99
J150533,-0.99
J133632,-0.99
J121728,-0.99
J122524,-0.99
J124007,-0.99
J225128,-0.99
J165157,-0.99
J123850,-0.99
J130832,-0.99
J212607,-0.99
J163923,-0.99
J113449,-0.99
J143546,-0.99
J112309,-0.99
J221337,-0.99
J161411,-0.99
J140750,-0.99
J104515,-0.99
J124028,-0.99
J142937,-0.99
J111159,-0.99
J113039,-0.99
J142845,-0.99
J120455,-0.99
J134735,-0.99
J105342,-0.99
J122638,-0.99
J103924,-0.99
J151125,-0.99
J121745,-0.99
J214929,-0.99
J123412,-0.99
J211000,-0.99
J150627,-0.99
J130709,-0.99
J123555,-0.99
J141438,-0.99
J102257,-0.99
J165803,-0.99
J142414,-0.99
J112850,-0.99
J153528,-0.99
J124646,-0.99
J165001,-0.99
J111619,-0.99
J141007,-0.99
J101750,-0.99
J113451,-0.99
J164034,-0.99
J160650,-0.99
J114342,-0.99
J220301,-0.99
J102057,-0.99
J113629,-0.99
J152031,-0.99
J161338,-0.99
J170002,-0.99
J124329,-0.99
J205027,-0.99
J101012,-0.99
J104654,-0.99
J111355,-0.99
J114048,-0.99
J152218,-0.99
J123303,-0.99
J151900,-0.99
J123230,-0.99
J115706,-0.99
J102856,-0.99
J011563,-0.99
J001670,-0.99
J005923,-0.99
J002838,-0.99
J001348,-0.99
J004283,-0.99
J003789,-0.99
J012794,-0.99
J001398,-0.99
J011339,-0.99
J014348,-0.99
J105007,-0.99
J111634,-0.99
J124753,-0.99
J111218,-0.99
J114225,-0.99
J105002,-0.99
J222104,-0.99
J161657,-0.99
J111805,-0.99
J115918,-0.99
J124203,-0.99
J112608,-0.99
J105102,-0.99
J140521,-0.99
J142018,-0.99
J140752,-0.99
J124630,-0.99
J143447,-0.99
J153104,-0.99
J100932,-0.99
J131228,-0.99
J144621,-0.99
J114648,-0.99
J110448,-0.99
J105246,-0.99
J144944,-0.99
J173052,-0.99
J215554,-0.99
J115950,-0.99
J100109,-0.99
J161838,-0.99
J100820,-0.99
J170807,-0.99
J215009,-0.99
J132605,-0.99
J161940,-0.99
J145825,-0.99
J115405,-0.99
J115907,-0.99
J105059,-0.99
J120546,-0.99
J124152,-0.99
J162349,-0.99
J210750,-0.99
J235305,-0.99
J144434,-0.99
J172139,-0.99
J111227,-0.99
J130039,-0.99
J153222,-0.99
J230842,-0.99
J103615,-0.99
J170930,-0.99
J110530,-0.99
J145349,-0.99
J100854,-0.99
J111518,-0.99
J125634,-0.99
J102053,-0.99
J145846,-0.99
J125101,-0.99
J142910,-0.99
J131142,-0.99
J152827,-0.99
J131450,-0.99
J172840,-0.99
J115901,-0.99
J114100,-0.99
J162132,-0.99
J151909,-0.99
J232741,-0.99
J110634,-0.99
J145706,-0.99
J123432,-0.99
J124058,-0.99
J230242,-0.99
J111249,-0.99
J105607,-0.99
J134702,-0.99
J131505,-0.99
J164732,-0.99
J140524,-0.99
J100551,-0.99
J234152,-0.99
J131646,-0.99
J102345,-0.99
J121459,-0.99
J144543,-0.99
J115644,-0.99
J114441,-0.99
J103328,-0.99
J161609,-0.99
J143127,-0.99
J235456,-0.99
J165940,-0.99
J135653,-0.99
J165520,-0.99
J111245,-0.99
J113712,-0.99
J132946,-0.99
J121450,-0.99
J165220,-0.99
J161747,-0.99
J123658,-0.99
J135402,-0.99
J130510,-0.99
J145753,-0.99
J151200,-0.99
J143245,-0.99
J121747,-0.99
J124722,-0.99
J154551,-0.99
J173506,-0.99
J122520,-0.99
J140249,-0.99
J151530,-0.99
J131718,-0.99
J151319,-0.99
J135540,-0.99
J142858,-0.99
J142234,-0.99
J113636,-0.99
J113059,-0.99
J140336,-0.99
J220924,-0.99
J100425,-0.99
J170809,-0.99
J142624,-0.99
J161745,-0.99
J214712,-0.99
J150306,-0.99
J102623,-0.99
J114443,-0.99
J114518,-0.99
J221325,-0.99
J125990,-0.99
J102753,-0.99
J110018,-0.99
J151813,-0.99
J101028,-0.99
J100858,-0.99
J164327,-0.99
J130037,-0.99
J164511,-0.99
J165946,-0.99
J114809,-0.99
J133252,-0.99
J145208,-0.99
J163701,-0.99
J102736,-0.99
J124046,-0.99
J140600,-0.99
J100328,-0.99
J103453,-0.99
J103701,-0.99
J110938,-0.99
J110628,-0.99
J110117,-0.99
J101000,-0.99
J214318,-0.99
J152703,-0.99
J155845,-0.99
J133011,-0.99
J124100,-0.99
J115041,-0.99
J154726,-0.99
J113701,-0.99
J100549,-0.99
J123602,-0.99
J155739,-0.99
J100415,-0.99
J143057,-0.99
J114337,-0.99
J132427,-0.99
J121842,-0.99
J165953,-0.99
J171246,-0.99
J150036,-0.99
J114154,-0.99
J212224,-0.99
J115127,-0.99
J234252,-0.99
J233658,-0.99
J114403,-0.99
J213055,-0.99
J172431,-0.99
J112003,-0.99
J230936,-0.99
J115517,-0.99
J143740,-0.99
J133525,-0.99
J215338,-0.99
J124733,-0.99
J165743,-0.99
J155905,-0.99
J165340,-0.99
J173645,-0.99
J124409,-0.99
J171013,-0.99
J144107,-0.99
J130401,-0.99
J213642,-0.99
J234928,-0.99
J130241,-0.99
J113758,-0.99
J232934,-0.99
J153802,-0.99
J233255,-0.99
J153054,-0.99
J120816,-0.99
J142438,-0.99
J130818,-0.99
J135046,-0.99
J145322,-0.99
J114019,-0.99
J112844,-0.99
J124508,-0.99
J222822,-0.99
J113057,-0.99
J101524,-0.99
J144153,-0.99
J125227,-0.99
J104253,-0.99
J141156,-0.99
J164417,-0.99
J134951,-0.99
J131204,-0.99
J144838,-0.99
J134654,-0.99
J120310,-0.99
J213737,-0.99
J235117,-0.99
J164938,-0.99
J155307,-0.99
J112801,-0.99
J110656,-0.99
J143429,-0.99
J144605,-0.99
J155737,-0.99
J105951,-0.99
J111740,-0.99
J103406,-0.99
J120726,-0.99
J114835,-0.99
J133210,-0.99
J144218,-0.99
J125956,-0.99
J141857,-0.99
J121925,-0.99
J145715,-0.99
J103339,-0.99
J132009,-0.99
J210548,-0.99
J151047,-0.99
J235408,-0.99
J160412,-0.99
J235321,-0.99
J111011,-0.99
J104008,-0.99
J122821,-0.99
J101307,-0.99
J172354,-0.99
J162700,-0.99
J171424,-0.99
J150921,-0.99
J140012,-0.99
J171518,-0.99
J124023,-0.99
J234557,-0.99
J235447,-0.99
J155616,-0.99
J001057,-0.99
J013070,-0.99
J004686,-0.99
J001890,-0.99
J012735,-0.99
J010000,-0.99
J011321,-0.99
J002964,-0.99
J005482,-0.99
J005900,-0.99
J013123,-0.99
J012635,-0.99
J142547,-0.99
J143505,-0.99
J145931,-0.99
J160715,-0.99
J103217,-0.99
J160753,-0.99
J112137,-0.99
J142306,-0.99
J151231,-0.99
J210422,-0.99
J211936,-0.99
J160941,-0.99
J111557,-0.99
J145805,-0.99
J134006,-0.99
J124219,-0.99
J151548,-0.99
J211036,-0.99
J155620,-0.99
J114346,-0.99
J153532,-0.99
J231837,-0.99
J230959,-0.99
J162720,-0.99
J164235,-0.99
J112820,-0.99
J110043,-0.99
J103408,-0.99
J132418,-0.99
J121454,-0.99
J112146,-0.99
J103839,-0.99
J110408,-0.99
J142533,-0.99
J152433,-0.99
J205546,-0.99
J103948,-0.99
J120308,-0.99
J152801,-0.99
J143639,-0.99
J153627,-0.99
J113230,-0.99
J132557,-0.99
J233534,-0.99
J111508,-0.99
J130256,-0.99
J232801,-0.99
J154212,-0.99
J134800,-0.99
J115200,-0.99
J155029,-0.99
